UID,Location name,Google address,Average star rating,Web link,Price range (single occupancy),Est. driving distance from 9500 Lagersfield Cir (mi),Sub-$5k private starting rate?,Contact person,Phone,Email,Contact source,Web form link,Called,Date contacted,Quoted monthly price,Medication fee,Waitlist,Notes,Published info source,,
AL-0001,Sunrise of Vienna,"374 Maple Ave W, Vienna, VA 22180",4.8,https://www.sunriseseniorliving.com/communities/va/sunrise-of-vienna,"Studio $5,989+/mo base; 1BR/2BR excluded (> $8k). Medication/care fees extra; confirm all-in total <= $8k.",2,No,,703-468-8968,,https://www.sunriseseniorliving.com/communities/va/sunrise-of-vienna,https://www.sunriseseniorliving.com/communities/va/sunrise-of-vienna,,,"Published: $5,989+/mo base",Priced separately from care level; amount not published,Limited availability,Base room rate excludes assessed care. Meals and selected services are included in room rate.,https://www.sunriseseniorliving.com/communities/va/sunrise-of-vienna,,
AL-0002,Braddock Glen,"4027 Olley Lane, Fairfax, VA 22032",4.8,https://www.fcrha.org/properties/braddock-glen-assisted-living/1,"Approx. $3,660-$5,400/mo including published medication-management and care tiers (30-day month); income limits apply.",4,Yes,,571-895-3500,rha@fairfaxcounty.gov,https://www.fcrha.org/properties/braddock-glen-assisted-living/1,,,,"Published: $112-$116/day base (~$3,360-$3,480 per 30 days); Plus care +$22/day; Plus-Plus +$42/day",Level 1 $10/day; Level 2 $18/day; Level 3 $22/day,Yes - vacancies are filled from the community waitlist; vacancy timing cannot be estimated,"Age 62+; maximum income published as $68,880 for 1 person. Three meals plus snacks included.",https://www.fairfaxcounty.gov/housing/rentalhousing/senior-housing,,
AL-0003,The Kensington Falls Church,"700 W Broad St, Falls Church, VA 22046",4.7,https://www.miradorliving.com/assisted-living/virginia/falls-church/the-kensington-falls-church,"1BR approx. $6,967+/mo; medication management and meals listed. Confirm final assessed-care total <= $8k.",7,No,Pamela Sellars / Fern Pannill (Directors of Community Relations),703-992-9868,,https://thekensingtonfallschurch.com/contact/,,,,,Medication administration/management offered; separate fee not published,,Official FAQ states nurses and care partners coordinate and administer medications; nurses on site 24/7.,https://thekensingtonfallschurch.com/contact/ | https://thekensingtonfallschurch.com/the-kensington-falls-church-faq/,,
AL-0004,Rembrandt Assisted Living,"6669 Gouthier Rd, Falls Church, VA 22042",5,https://www.miradorliving.com/assisted-living/virginia/falls-church/rembrandt-assisted-living,"1BR approx. $6,414+/mo; medication management and meal service listed. Confirm final care quote <= $8k.",7,No,,703-712-7744,,https://www.dss.virginia.gov/licensed-care/search-licensing-programs/assisted-living-facility-search/?action=inspection&endpoint=alf&inspectionNumber=34674&licenseId=47624,,,,,,,,,,
AL-0005,Brightview Fair Oaks,"12725 Lee Hwy, Fairfax, VA 22030",4.8,https://www.brightviewseniorliving.com/find-a-community/brightview-fair-oaks/pricing,"Approx. $5,800-$7,335/mo (studio/1BR estimates); 5 hrs personal care/week, 3 meals/day and help taking medications included.",8,No,,571-496-8367,,https://www.brightviewseniorliving.com/find-a-community/brightview-fair-oaks,https://www.brightviewseniorliving.com/find-a-community/brightview-fair-oaks/pricing,,,,No separate medication fee published; assistance taking medications is included within assisted-living services,,Assisted Living rate includes 5 hours of personal care per week and three chef-prepared meals per day. Price amount is gated behind the official pricing form.,https://www.brightviewseniorliving.com/find-a-community/brightview-fair-oaks/pricing,,
AL-0006,Sunrise at Bluemont Park,"5910 Wilson Blvd, Arlington, VA 22205",4.7,https://www.sunriseseniorliving.com/communities/va/sunrise-at-bluemont-park,"Studio $4,530+; 1BR $5,533+; 2BR $6,749+ base. Care and medication management extra; confirm all-in total <= $8k.",11,Yes,,703-348-1048,,https://www.sunriseseniorliving.com/communities/va/sunrise-at-bluemont-park,https://www.sunriseseniorliving.com/communities/va/sunrise-at-bluemont-park,,,"Published: studio $4,530+/mo base",Priced separately from care level; amount not published,,"Sunrise states assessed care is added to suite cost and some services, including medication management, are priced separately.",https://www.sunriseseniorliving.com/communities/va/sunrise-at-bluemont-park,,
AL-0007,Brightview Dulles Corner,"13700 Magna Way, Herndon, VA 20171",4.8,https://www.brightviewseniorliving.com/find-a-community/brightview-dulles-corner/pricing,"Private assisted-living room approx. $7,395+/mo; 5 hrs personal care/week, 3 meals/day and help taking medications included.",12,No,,571-548-3139,,https://www.brightviewseniorliving.com/find-a-community/brightview-dulles-corner,https://www.brightviewseniorliving.com/find-a-community/brightview-dulles-corner/pricing,,,,No separate medication fee published; assistance taking medications is included within assisted-living services,,Assisted Living rate includes 5 hours of personal care per week and three chef-prepared meals per day. Price amount is gated behind the official pricing form.,https://www.brightviewseniorliving.com/find-a-community/brightview-dulles-corner/pricing,,
AL-0040,Arbor Terrace Herndon,"1100 Dranesville Rd, Herndon, VA 20170",5,https://www.arborcompany.com/locations/virginia/herndon,"Independent Living apartments start at $4,600/mo. Three chef-prepared meals daily are available, but this community is currently listed by Arbor as Independent Living only; medication management is not a standard assisted-living service here.",12,No,Ryan Champion (Community Sales Director),703-956-6311,,https://www.arborcompany.com/locations/virginia/herndon/about,https://www.arborcompany.com/locations/virginia/herndon/contact-us,,,"Published: Independent Living apartments start at $4,600/mo",Not applicable as standard assisted-living medication management; extra support is through preferred partners,,"Non-qualifying for your current assisted-living requirement. Arbor currently lists Herndon as Independent Living only. On-site rehabilitation, health services and companion care may be available through preferred partners.",https://www.arborcompany.com/locations/virginia | https://www.arborcompany.com/locations/virginia/herndon | https://www.arborcompany.com/locations/virginia/herndon/contact-us,,
AL-0008,The View Alexandria,"5000 Fairbanks Ave, Alexandria, VA 22311",4.7,https://theviewalexandria.org/care-options/assisted-living/,"Assisted living $4,586+/mo including 3 meals/day; personal care and medication management available via individualized plan. Confirm all-in <= $8k.",13,Yes,,703-797-3844,Info@GoodwinLiving.org,https://theviewalexandria.org/contact/,https://theviewalexandria.org/contact/,,,"Published: Assisted Living starts at $4,586/mo",Additional medication management available via individualized care plan; fee not published,,"Month-to-month rental model; starting rate includes three daily meals, weekly housekeeping, linen service and programming.",https://theviewalexandria.org/care-options/assisted-living/ | https://theviewalexandria.org/contact/,,
AL-0033,Sunrise of Arlington,"2000 North Glebe Road, Arlington, VA 22207",4.5,https://www.sunriseseniorliving.com/communities/va/sunrise-of-arlington,"Studio $4,000+/mo base. Meals included; assisted living supports medication management, but care level and medication management are charged separately. Confirm final monthly total.",13,Yes,,703-348-1033,,https://www.sunriseseniorliving.com/communities/va/sunrise-of-arlington,https://www.sunriseseniorliving.com/communities/va/sunrise-of-arlington,,,"Published: studio $4,000+/mo base",Care/medication costs not included in base room rate; amount not published,,"Room rate includes selected services such as meals, programming, housekeeping and trash removal; assessed care is additional.",https://www.sunriseseniorliving.com/communities/va/sunrise-of-arlington,,
